cod_entidad;entidad;cod_tipo_gasto;tipo_gasto;cod_grupo_gasto;grupo_gasto;cod_subgrupo_gasto;subgrupo_gasto;cod_renglon;renglon;asignado;vigente;devengado
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;10;PERSONAL EN CARGOS FIJOS;11;PERSONAL PERMANENTE;89464628;75477579;61119647.97
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;10;PERSONAL EN CARGOS FIJOS;12;COMPLEMENTO PERSONAL AL SALARIO DEL PERSONAL PERMANENTE;648024;1445838;1172494.89
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;10;PERSONAL EN CARGOS FIJOS;13;COMPLEMENTO POR ANTIGUEDAD AL PERSONAL PERMANENTE;314940;315120;244388.41
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;10;PERSONAL EN CARGOS FIJOS;14;COMPLEMENTO POR CALIDAD PROFESIONAL AL PERSONAL PERMANENTE;180002;195893;126601.06
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;10;PERSONAL EN CARGOS FIJOS;15;COMPLEMENTOS ESPECIFICOS AL PERSONAL PERMANENTE;13824972;21560402;17020347.63
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;20;PERSONAL TEMPORAL;22;PERSONAL POR CONTRATO;4188000;2673708;2109214.69
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;20;PERSONAL TEMPORAL;26;COMPLEMENTO POR CALIDAD PROFESIONAL AL PERSONAL TEMPORAL;72000;51580;36422.82
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;20;PERSONAL TEMPORAL;27;COMPLEMENTOS ESPECIFICOS AL PERSONAL TEMPORAL;60000;102491;74937.04
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;20;PERSONAL TEMPORAL;29;OTRAS REMUNERACIONES DE PERSONAL TEMPORAL;21619782;19278883;12710831
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;60;DIETAS Y GASTOS DE REPRESENTACION;63;GASTOS DE REPRESENTACION EN EL INTERIOR;3588000;3726581;3084451.62
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;70;OTRAS PRESTACIONES RELACIONADAS CON SALARIOS;71;AGUINALDO;8156824;7807322;4375812.26
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;70;OTRAS PRESTACIONES RELACIONADAS CON SALARIOS;72;BONIFICACION ANUAL (BONO 14);8154104;8070519;7464499.51
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;70;OTRAS PRESTACIONES RELACIONADAS CON SALARIOS;73;BONO VACACIONAL;254373;257085;11622.7
